image,pc_latency_ms,luckfox_latency_ms,pc_detections,luckfox_detections,luckfox_status,updated_at,Lane_1_pc,Lane_2_pc,Lane_3_pc,Lane_1_luckfox,Lane_2_luckfox,Lane_3_luckfox
img00080.jpg,36.306,0.000,6,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,1,0,5,0,0,0
img00081.jpg,34.222,0.000,6,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:15,1,0,5,0,0,0
img00082.jpg,38.378,0.000,6,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:16,1,0,5,0,0,0
img00083.jpg,33.989,0.000,5,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:16,1,0,4,0,0,0
img00084.jpg,33.795,0.000,5,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:16,1,0,4,0,0,0
img00085.jpg,34.917,0.000,5,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:16,1,0,4,0,0,0
img00086.jpg,37.473,0.000,5,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:16,1,0,4,0,0,0
img00087.jpg,33.622,0.000,6,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:16,1,0,5,0,0,0
img00088.jpg,33.200,0.000,5,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:16,1,0,4,0,0,0
img00089.jpg,33.566,0.000,5,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:16,1,0,4,0,0,0
img00090.jpg,33.311,0.000,5,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:16,1,0,4,0,0,0
img00091.jpg,44.007,0.000,6,0,SSH not ready for root@192.168.1.150. Verify: ssh root@192.168.1.150,2026-04-26T14:49:16,2,0,4,0,0,0
img00092.jpg,42.277,81.951,5,6,OK,2026-04-25T01:54:48,1,0,4,2,0,4
img00093.jpg,37.231,81.969,6,6,OK,2026-04-25T01:54:49,1,0,5,2,0,4
img00094.jpg,34.449,81.959,5,5,OK,2026-04-25T01:54:50,1,0,4,1,0,4
img00095.jpg,32.668,81.964,6,6,OK,2026-04-25T01:54:51,2,0,4,2,0,4
img00096.jpg,35.746,82.085,8,6,OK,2026-04-25T01:54:52,2,1,5,2,0,4
img00097.jpg,33.865,81.976,8,7,OK,2026-04-25T01:54:53,2,1,5,3,0,4
img00098.jpg,34.024,85.033,8,8,OK,2026-04-25T01:54:54,3,1,4,4,0,4
img00099.jpg,44.792,82.666,8,6,OK,2026-04-25T01:54:55,3,1,4,1,1,4
img00100.jpg,35.828,82.377,8,7,OK,2026-04-25T01:54:56,2,1,5,2,1,4
img00101.jpg,35.749,81.990,7,7,OK,2026-04-25T01:54:57,2,1,4,2,1,4
img00102.jpg,34.564,81.974,8,8,OK,2026-04-25T01:54:58,2,1,5,3,1,4
img00103.jpg,32.499,83.019,9,7,OK,2026-04-25T01:54:59,3,1,5,2,1,4
img00104.jpg,35.801,81.961,6,6,OK,2026-04-25T01:55:00,1,1,4,1,1,4
img00105.jpg,34.286,81.971,6,7,OK,2026-04-25T01:55:01,1,1,4,2,1,4
img00106.jpg,34.999,81.950,6,6,OK,2026-04-25T01:55:02,1,1,4,1,1,4
img00107.jpg,33.250,81.944,6,7,OK,2026-04-25T01:55:03,1,1,4,2,1,4
img00108.jpg,38.634,81.962,6,8,OK,2026-04-25T01:55:04,1,1,4,3,1,4
img00109.jpg,33.723,83.198,6,7,OK,2026-04-25T01:55:05,1,1,4,2,1,4
img00110.jpg,37.473,82.628,7,7,OK,2026-04-25T01:55:06,2,1,4,2,1,4
img00111.jpg,32.926,82.082,8,9,OK,2026-04-25T01:55:07,3,1,4,3,1,5
img00112.jpg,34.730,82.471,7,7,OK,2026-04-25T01:55:08,2,1,4,2,1,4
img00113.jpg,33.390,81.945,8,7,OK,2026-04-25T01:55:09,3,1,4,2,1,4
img00114.jpg,35.590,82.977,8,7,OK,2026-04-25T01:55:11,3,1,4,2,1,4
img00115.jpg,34.129,82.973,8,7,OK,2026-04-25T01:55:12,3,1,4,2,1,4
img00116.jpg,38.216,82.690,9,7,OK,2026-04-25T01:55:13,4,1,4,2,1,4
img00117.jpg,35.069,81.933,9,9,OK,2026-04-25T01:55:14,3,1,5,3,1,5
img00118.jpg,40.779,81.933,9,9,OK,2026-04-25T01:55:15,3,1,5,3,1,5
img00119.jpg,47.292,82.624,9,8,OK,2026-04-25T01:55:16,3,1,5,2,1,5
img00120.jpg,35.513,81.956,9,8,OK,2026-04-25T01:55:17,3,1,5,2,1,5
img00121.jpg,36.112,82.320,10,7,OK,2026-04-25T01:55:18,4,1,5,1,1,5
img00122.jpg,52.411,81.933,10,7,OK,2026-04-25T01:55:50,4,1,5,1,1,5
img00123.jpg,37.694,86.135,8,7,OK,2026-04-25T01:55:52,2,1,5,1,1,5
img00124.jpg,40.930,81.917,10,8,OK,2026-04-25T01:56:01,4,1,5,2,1,5
img00125.jpg,36.642,81.913,8,8,OK,2026-04-25T01:56:05,2,1,5,2,1,5
img00126.jpg,35.723,82.903,10,8,OK,2026-04-25T01:56:06,4,1,5,2,1,5
