image,pc_detections,luckfox_detections,diff_luckfox_minus_pc,abs_diff,luckfox_status,Lane_1_pc,Lane_1_luckfox,Lane_2_pc,Lane_2_luckfox,Lane_3_pc,Lane_3_luckfox
img00155.jpg,7,7,0,0,OK,1.0,1.0,2.0,2.0,4.0,4.0
img00156.jpg,7,8,1,1,OK,1.0,2.0,2.0,2.0,4.0,4.0
img00157.jpg,7,7,0,0,OK,1.0,0.0,2.0,2.0,4.0,5.0
img00158.jpg,7,9,2,2,OK,1.0,2.0,2.0,2.0,4.0,5.0
img00159.jpg,7,10,3,3,OK,1.0,2.0,2.0,2.0,4.0,6.0
img00160.jpg,8,10,2,2,OK,2.0,2.0,2.0,2.0,4.0,6.0
img00161.jpg,7,9,2,2,OK,1.0,1.0,2.0,2.0,4.0,6.0
img00162.jpg,7,10,3,3,OK,1.0,2.0,2.0,2.0,4.0,6.0
img00163.jpg,7,8,1,1,OK,1.0,2.0,2.0,2.0,4.0,4.0
img00164.jpg,6,8,2,2,OK,0.0,2.0,2.0,2.0,4.0,4.0
img00165.jpg,8,9,1,1,OK,2.0,2.0,2.0,2.0,4.0,5.0
img00166.jpg,7,8,1,1,OK,1.0,2.0,2.0,2.0,4.0,4.0
img00167.jpg,8,8,0,0,OK,2.0,2.0,2.0,2.0,4.0,4.0
img00168.jpg,8,8,0,0,OK,2.0,1.0,2.0,2.0,4.0,5.0
img00169.jpg,7,8,1,1,OK,1.0,1.0,2.0,2.0,4.0,5.0
img00170.jpg,7,9,2,2,OK,1.0,1.0,2.0,2.0,4.0,6.0
img00171.jpg,7,9,2,2,OK,1.0,1.0,2.0,2.0,4.0,6.0
img00172.jpg,7,8,1,1,OK,1.0,1.0,2.0,2.0,4.0,5.0
img00173.jpg,7,10,3,3,OK,1.0,2.0,2.0,2.0,4.0,6.0
img00174.jpg,7,8,1,1,OK,1.0,1.0,2.0,2.0,4.0,5.0
img00175.jpg,8,7,-1,1,OK,2.0,1.0,2.0,2.0,4.0,4.0
img00176.jpg,7,7,0,0,OK,1.0,1.0,2.0,2.0,4.0,4.0
img00177.jpg,7,9,2,2,OK,2.0,2.0,2.0,2.0,3.0,5.0
img00178.jpg,7,8,1,1,OK,2.0,2.0,2.0,2.0,3.0,4.0
img00179.jpg,7,7,0,0,OK,1.0,1.0,2.0,2.0,4.0,4.0
img00180.jpg,7,7,0,0,OK,1.0,1.0,2.0,2.0,4.0,4.0
img00181.jpg,8,8,0,0,OK,1.0,1.0,2.0,2.0,5.0,5.0
img00182.jpg,8,9,1,1,OK,1.0,2.0,2.0,2.0,5.0,5.0
img00183.jpg,8,9,1,1,OK,1.0,2.0,2.0,2.0,5.0,5.0
img00184.jpg,7,9,2,2,OK,0.0,2.0,2.0,2.0,5.0,5.0
img00185.jpg,8,8,0,0,OK,1.0,1.0,2.0,2.0,5.0,5.0
img00186.jpg,9,8,-1,1,OK,2.0,1.0,2.0,2.0,5.0,5.0
img00187.jpg,8,8,0,0,OK,1.0,1.0,2.0,2.0,5.0,5.0
img00188.jpg,8,9,1,1,OK,1.0,2.0,2.0,2.0,5.0,5.0
img00189.jpg,9,8,-1,1,OK,2.0,1.0,2.0,2.0,5.0,5.0
img00190.jpg,8,8,0,0,OK,1.0,1.0,2.0,2.0,5.0,5.0
img00191.jpg,7,9,2,2,OK,1.0,2.0,2.0,2.0,4.0,5.0
img00192.jpg,8,8,0,0,OK,1.0,1.0,2.0,2.0,5.0,5.0
img00193.jpg,8,9,1,1,OK,2.0,2.0,2.0,2.0,4.0,5.0
img00194.jpg,7,10,3,3,OK,1.0,2.0,2.0,2.0,4.0,6.0
img00195.jpg,7,9,2,2,OK,1.0,2.0,2.0,2.0,4.0,5.0
img00196.jpg,7,8,1,1,OK,1.0,1.0,2.0,2.0,4.0,5.0
img00197.jpg,7,8,1,1,OK,1.0,1.0,2.0,2.0,4.0,5.0
img00198.jpg,7,8,1,1,OK,1.0,1.0,2.0,2.0,4.0,5.0
img00199.jpg,7,9,2,2,OK,1.0,1.0,2.0,2.0,4.0,6.0
img00200.jpg,7,8,1,1,OK,1.0,1.0,2.0,2.0,4.0,5.0
img00201.jpg,7,9,2,2,OK,1.0,2.0,2.0,2.0,4.0,5.0
img00202.jpg,7,9,2,2,OK,1.0,2.0,2.0,2.0,4.0,5.0
img00203.jpg,7,9,2,2,OK,1.0,2.0,2.0,2.0,4.0,5.0
img00204.jpg,7,9,2,2,OK,1.0,2.0,2.0,2.0,4.0,5.0
img00205.jpg,8,8,0,0,OK,1.0,1.0,3.0,2.0,4.0,5.0
img00206.jpg,8,8,0,0,OK,1.0,1.0,3.0,2.0,4.0,5.0
img00207.jpg,8,10,2,2,OK,1.0,2.0,3.0,3.0,4.0,5.0
img00208.jpg,8,9,1,1,OK,1.0,1.0,3.0,3.0,4.0,5.0
img00209.jpg,8,9,1,1,OK,1.0,1.0,3.0,3.0,4.0,5.0
